season,gamemode,placement,player_name
2016,Classic,1st,Dalek-Buster
2016,Classic,2nd,Trabantt
2016,Classic,participant,5am
2016,Classic,participant,9thDr
2016,Classic,participant,BallisticBlaster
2016,Classic,participant,Beast32
2016,Classic,participant,Firestorm16
2016,Classic,participant,TheGreatOverlord
2016,Classic,participant,CodeForces
2016,Classic,participant,Reggigas
2016,Classic,participant,george8888
2016,Classic,participant,scotto
2016,Classic,participant,somag
2016,Classic,participant,mrjoey1
2016,Classic,participant,Firefall17
2016,Classic,participant,MohammadrezaSaed
2017,Classic,1st,5am
2017,Classic,2nd,george8888
2017,Classic,3rd,Raika_TheDestroyer
2017,Classic,participant,CrispyNanoWolf
2017,Classic,participant,ADIRITIU
2017,Classic,participant,Mud
2017,Classic,participant,supervolcano
2017,Classic,participant,j0kky
2017,Classic,participant,CoolSolarDrill
2017,Classic,participant,Argontrax
2017,Classic,participant,Comradeherio
2017,Classic,participant,rappiddssaaain01
2017,Classic,participant,Firestorm16
2017,Classic,participant,Firefall17
2017,Classic,participant,DrJekyll
2017,Laser,1st,captainahvong
2017,Laser,2nd,meemee
2017,Laser,participant,YourDemise
2017,Laser,participant,Ozymandias
2017,Laser,participant,Firestorm16
2017,Laser,participant,DrJekyll
2017,Laser,participant,Happyh0ur888
2017,Laser,participant,Comradeherio
2017,Candy Tanks,1st,Rediey
2017,Candy Tanks,2nd,bangbangshoota
2017,Candy Tanks,3rd,HydroDonkey
2017,Candy Tanks,participant,badbot328
2017,Candy Tanks,participant,MrLit
2017,Candy Tanks,participant,Dankislife123
2017,Candy Tanks,participant,Unc1eSalty
2017,Candy Tanks,participant,broXster
2018,Classic,1st,FreeCandy-Tank
2018,Classic,2nd,supervolcano
2018,Classic,3rd,Spiros04
2018,Classic,participant,Argontrax
2018,Classic,participant,Rage
2018,Classic,participant,DrJekyll
2018,Classic,participant,DR_RAGE
2018,Classic,participant,rhak
2018,Classic,participant,jaspritbumrah
2018,Classic,participant,#NAME?
2018,Classic,participant,Redwind
2018,Classic,participant,meemee
2018,Classic,participant,4Door
2018,Classic,participant,Dputtykat22
2018,Classic,participant,Turbo-Rambo
2018,Classic,participant,QuickNinja
2018,Weapons,1st,meemee
2018,Weapons,2nd,FreeCandy-Tank
2018,Weapons,3rd,supervolcano
